127.0.0.1 - - [04/Feb/2022:14:14:05 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Feb/2022:14:14:07 +0530] "GET /project_3/ HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:13:06 +0530] "GET /project_3/ HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:13:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:13:16 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6232
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:13:40 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:14:08 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:14:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:14:53 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:15:01 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:15:02 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:15:36 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:16:45 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6232
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:17:23 +0530] "GET /project_3/ HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:17:24 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3534
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:17:26 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6232
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:17:32 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:17:49 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:18:52 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
0:0:0:0:0:0:0:1 - - [04/Feb/2022:16:19:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 6462
