127.0.0.1 - - [18/Feb/2022:18:15:49 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:16:23 +0530] "GET /project_3/ HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:16:42 +0530] "GET /project_3/img/banner-gbe43afd47_1920.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:16:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:16:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:16:52 +0530] "GET /project_3/ErrorCtl/img/logo.png HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:18:41 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:18:44 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:18:47 +0530] "GET /project_3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:18:50 +0530] "GET /project_3/ HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:18:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 404 875
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:19:50 +0530] "GET /project_3/ HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [18/Feb/2022:18:19:52 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 404 875
