127.0.0.1 - - [01/Feb/2022:13:09:59 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:02 +0530] "GET /project_3/ HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:02 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:02 +0530] "GET /project_3/img/colorful-shapes-traingles-4k.jpg HTTP/1.1" 200 807436
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:29 +0530] "GET /project_3/ HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:31 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:31 +0530] "GET /project_3/img/colorful-shapes-traingles-4k.jpg HTTP/1.1" 200 807436
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:34 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:10:34 +0530] "GET /project_3/img/1127097.jpg HTTP/1.1" 200 355628
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:13:24 +0530] "GET /project_3/ HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:13:24 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:13:27 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3528
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:13:31 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 10423
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:13:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:13:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:01 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 10527
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:10 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 10527
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:16 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 10527
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:23 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 10527
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:33 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 10702
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:15:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:16:04 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 6226
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:16:22 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:16:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:18:07 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:18:10 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:18:14 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 6427
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:18:31 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Feb/2022:13:18:31 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9500
